Timestamp,What is your age?,Are you?,Have you used online dating app(s) before?,How often do you use online dating app(s)?,What are you looking for in online dating app(s)?,How long have you used online dating app(s)?,Do you prefer dating app(s) to have more interactive ice breaker activities?,Do you prefer to have a certain number but selective profiles or unlimited profiles recommended per day?,Have you experienced ghosting or being ghosted?,What's your overall experience using online dating app(s)?,What's the main reason you haven't used any dating app?,Do you intend to use any online dating app?
1-12-2023 12:16:12,24 to 34,Female,Yes,Frequently,Long-term relationship,1-6 months,Yes,Certain but selective profiles,Both,Positive,,
1-12-2023 13:04:02,24 to 34,Male,Yes,Frequently,Long-term relationship,more than 1 year,No,Unlimited profiles,Both,Positive,,
1-12-2023 15:17:25,24 to 34,Male,Yes,Rarely,Long-term relationship,more than 1 year,No,Unlimited profiles,Being ghosted,Negative,,
1-12-2023 15:35:12,24 to 34,Male,Yes,Rarely,I don't know yet,more than 1 year,Yes,Certain but selective profiles,Being ghosted,Negative,,
1-12-2023 15:47:29,18 to 24,Female,No,,,,,,,,Have been in a relationship since I was a minor,No
1-12-2023 15:59:06,18 to 24,Female,No,,,,,,,,Prefer real connection over online dating,No
1-12-2023 16:12:07,18 to 24,Male,Yes,Occasionally,Long-term relationship,approximately 1 year,Yes,Certain but selective profiles,Both,Negative,,
1-12-2023 16:36:38,18 to 24,Female,Yes,Rarely,Long-term relationship,1-6 months,Yes,Unlimited profiles,Both,Positive,,
1-12-2023 16:38:05,24 to 34,Male,Yes,Occasionally,Long-term relationship,more than 1 year,No,Certain but selective profiles,Being ghosted,Positive,,
1-12-2023 17:04:22,18 to 24,Female,No,,,,,,,,Prefer real connection over online dating,Yes
1-12-2023 17:33:29,24 to 34,Female,Yes,Rarely,I don't know yet,1-6 months,Yes,Certain but selective profiles,Being ghosted,Negative,,
1-12-2023 17:35:15,24 to 34,Female,No,,,,,,,,Not interested,No
1-12-2023 20:10:01,24 to 34,Male,Yes,Frequently,Short-term or casual relationship,more than 1 year,No,Unlimited profiles,Being ghosted,Positive,,
1-13-2023 1:15:15,24 to 34,Male,Yes,Rarely,Long-term relationship,more than 1 year,Yes,Unlimited profiles,Being ghosted,Negative,,
1-13-2023 9:50:04,24 to 34,Female,Yes,Rarely,I don't know yet,more than 1 year,No,Unlimited profiles,Neither,Very negative,,
1-13-2023 10:01:49,24 to 34,Female,Yes,Rarely,Long-term relationship,1-6 months,Yes,Certain but selective profiles,Neither,Positive,,
1-13-2023 10:18:13,18 to 24,Female,Yes,Frequently,Long-term relationship,1-6 months,No,Certain but selective profiles,Both,Positive,,
1-13-2023 12:57:56,35 +,Female,No,,,,,,,,I'm too old,No
1-13-2023 13:11:40,18 to 24,Male,Yes,Occasionally,Short-term or casual relationship,more than 1 year,No,Certain but selective profiles,Both,Positive,,
1-13-2023 14:29:19,24 to 34,Male,No,,,,,,,,Prefer real connection over online dating,No
1-13-2023 15:09:13,18 to 24,Male,Yes,Rarely,I don't know yet,1-6 months,No,Certain but selective profiles,Both,Negative,,
1-13-2023 15:18:54,24 to 34,Female,Yes,Rarely,Long-term relationship,1-6 months,Yes,Certain but selective profiles,Both,Negative,,
1-13-2023 16:25:00,18 to 24,Female,No,,,,,,,,Not interested,No
1-13-2023 17:01:36,18 to 24,Female,Yes,Occasionally,Short-term or casual relationship,1-6 months,Yes,Unlimited profiles,Ghosting,Positive,,
1-13-2023 17:07:47,24 to 34,Female,No,,,,,,,,Prefer real connection over online dating,No
1-13-2023 18:56:25,18 to 24,Male,Yes,Rarely,Long-term relationship,1-6 months,No,Certain but selective profiles,Both,Positive,,
1-13-2023 19:49:41,35 +,Male,No,,,,,,,,"not my style, also, im old school, traditional",No
1-13-2023 20:15:36,24 to 34,Male,Yes,Frequently,Long-term relationship,more than 1 year,Yes,Unlimited profiles,Being ghosted,Negative,,
1-14-2023 7:16:30,35 +,Male,No,,,,,,,,Not interested,No
1-14-2023 22:47:56,24 to 34,Male,No,,,,,,,,I used earlier but didn't got any result so I left out,No
1-14-2023 23:23:15,24 to 34,Male,Yes,Rarely,I don't know yet,1-6 months,Yes,Certain but selective profiles,Both,Negative,,
1-15-2023 1:53:31,18 to 24,Female,No,,,,,,,,Not interested,No
